json_file,cycle_index,n_tokens,rle_colors,rotated_to_order,rotation_applied,start_orientation,flash_count,flash_positions_norm,flash_color_hits,base4_seq
20250328_124758000_iOS.2.json.sequence.json,0,51,Yellow|Green|Blue|Yellow|Green|Yellow|Green|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Blue|Green|Yellow|Blue|Yellow|Green|Yellow|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow,Yellow|Green|Blue|Yellow|Green|Yellow|Green|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Blue|Green|Yellow|Blue|Yellow|Green|Yellow|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow,False,↑,16,0.18|0.22|0.26|0.28|0.3|0.36|0.4|0.56|0.68|0.7|0.76|0.82|0.88|0.9|0.96|0.98,Yellow|Yellow|Pink/Magenta|Yellow|Yellow|Pink/Magenta|Blue|Yellow|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow,320323231310230323213130301313
20250812_034218000_iOS.json.sequence.json,0,4,Blue|Green|Pink/Magenta,Blue|Green|Pink/Magenta,False,↑,0,,,021
20250812_034218000_iOS.json.sequence.json,1,7,Green|Blue|Green|Blue|Pink/Magenta,Green|Blue|Green|Blue|Pink/Magenta,False,,1,0.667,Blue,20201
20250812_034218000_iOS.json.sequence.json,2,8,Green|Blue|Yellow|Blue|Yellow|Blue|Pink/Magenta|Blue,Green|Blue|Yellow|Blue|Yellow|Blue|Pink/Magenta|Blue,False,↓,2,0.143|0.857,Blue|Pink/Magenta,20303010
20250812_034218000_iOS.json.sequence.json,3,8,Blue|Green|Yellow|Blue|Pink/Magenta,Green|Yellow|Blue|Pink/Magenta|Blue,True,,3,0.0|0.143|0.286,Blue|Blue|Blue,23010
20250812_034218000_iOS.json.sequence.json,4,1,Green,Green,False,↓,0,,,2
20250812_034218000_iOS.json.sequence.json,5,2,Pink/Magenta|Blue,Pink/Magenta|Blue,False,,0,,,10
20250812_034218000_iOS.json.sequence.json,6,7,Blue|Pink/Magenta|Blue|Green|Yellow|Green,Blue|Pink/Magenta|Blue|Green|Yellow|Green,False,,2,0.0|0.5,Blue|Blue,010232
20250812_034218000_iOS.json.sequence.json,7,7,Blue|Pink/Magenta|Blue|Green|Blue|Green,Blue|Pink/Magenta|Blue|Green|Blue|Green,False,,1,0.5,Blue,010202
20250812_034218000_iOS2.5.json.sequence.json,0,15,Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue,Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue,False,,5,0.071|0.286|0.357|0.643|1.0,Blue|Blue|Blue|Blue|Blue,0202020210
